Timp,Nivel de oxigen,Puls cardiac,Mişcare
22:17:45 21/08/2025,96,54,0
22:17:49 21/08/2025,97,54,1
22:17:53 21/08/2025,96,56,1
22:17:57 21/08/2025,96,55,1
22:18:01 21/08/2025,95,52,1
22:18:05 21/08/2025,96,52,1
22:18:09 21/08/2025,96,51,1
22:18:13 21/08/2025,96,51,1
22:18:17 21/08/2025,96,51,1
22:18:21 21/08/2025,96,54,1
22:18:25 21/08/2025,96,54,1
22:18:29 21/08/2025,95,56,1
22:18:33 21/08/2025,95,54,1
22:18:37 21/08/2025,95,54,5
22:18:41 21/08/2025,95,54,2
22:18:45 21/08/2025,96,53,2
22:18:49 21/08/2025,96,53,2
22:18:53 21/08/2025,96,53,0
22:18:57 21/08/2025,96,53,0
22:19:01 21/08/2025,96,54,0
22:19:05 21/08/2025,95,55,0
22:19:09 21/08/2025,95,54,1
22:19:13 21/08/2025,96,52,0
22:19:17 21/08/2025,97,52,0
22:19:21 21/08/2025,98,54,0
22:19:25 21/08/2025,98,57,0
22:19:29 21/08/2025,97,56,0
22:19:33 21/08/2025,96,54,0
22:19:37 21/08/2025,97,52,0
22:19:41 21/08/2025,97,52,0
22:19:45 21/08/2025,98,52,1
22:19:49 21/08/2025,98,52,1
22:19:53 21/08/2025,98,52,1
22:19:57 21/08/2025,98,52,1
22:20:01 21/08/2025,98,52,3
22:20:05 21/08/2025,98,52,8
22:20:09 21/08/2025,98,52,1
22:20:13 21/08/2025,97,52,0
22:20:17 21/08/2025,96,52,1
22:20:21 21/08/2025,96,52,1
22:20:25 21/08/2025,96,52,1
22:20:29 21/08/2025,96,52,2
22:20:33 21/08/2025,96,52,2
22:20:37 21/08/2025,96,52,4
22:20:41 21/08/2025,96,53,1
22:20:45 21/08/2025,97,52,1
22:20:49 21/08/2025,98,52,0
22:20:53 21/08/2025,97,52,0
22:20:57 21/08/2025,97,51,0
22:21:01 21/08/2025,95,52,0
22:21:05 21/08/2025,95,54,1
22:21:09 21/08/2025,96,55,1
22:21:13 21/08/2025,98,52,0
22:21:17 21/08/2025,98,51,1
22:21:21 21/08/2025,97,51,0
22:21:25 21/08/2025,96,51,1
22:21:29 21/08/2025,96,54,1
22:21:33 21/08/2025,95,55,0
22:21:37 21/08/2025,96,52,0
22:21:41 21/08/2025,97,52,0
22:21:45 21/08/2025,97,51,0
22:21:49 21/08/2025,97,51,0
22:21:53 21/08/2025,97,51,0
22:21:57 21/08/2025,96,52,0
22:22:01 21/08/2025,95,53,1
22:22:05 21/08/2025,95,54,0
22:22:09 21/08/2025,96,53,1
22:22:13 21/08/2025,97,52,0
22:22:17 21/08/2025,97,52,1
22:22:21 21/08/2025,97,51,1
22:22:25 21/08/2025,97,51,0
22:22:29 21/08/2025,97,51,0
22:22:33 21/08/2025,96,52,0
22:22:37 21/08/2025,95,53,0
22:22:41 21/08/2025,96,53,0
22:22:45 21/08/2025,97,51,0
22:22:49 21/08/2025,98,50,0
22:22:53 21/08/2025,98,50,0
22:22:57 21/08/2025,98,51,1
22:23:01 21/08/2025,97,51,1
22:23:05 21/08/2025,96,53,0
22:23:09 21/08/2025,96,53,0
22:23:13 21/08/2025,97,52,0
22:23:17 21/08/2025,98,51,0
22:23:21 21/08/2025,98,51,0
22:23:25 21/08/2025,98,51,1
22:23:29 21/08/2025,97,51,3
22:23:33 21/08/2025,97,52,0
22:23:37 21/08/2025,96,55,0
22:23:41 21/08/2025,95,55,1
22:23:45 21/08/2025,95,54,1
22:23:49 21/08/2025,96,53,0
22:23:53 21/08/2025,97,53,0
22:23:57 21/08/2025,97,50,0
22:24:01 21/08/2025,97,53,0
22:24:05 21/08/2025,97,53,0
22:24:09 21/08/2025,97,53,2
22:24:13 21/08/2025,97,53,1
22:24:17 21/08/2025,97,53,1
22:24:21 21/08/2025,97,52,1
22:24:25 21/08/2025,98,54,0
22:24:29 21/08/2025,97,53,1
22:24:33 21/08/2025,97,51,0
22:24:37 21/08/2025,96,52,0
22:24:41 21/08/2025,96,53,0
22:24:45 21/08/2025,96,52,1
22:24:49 21/08/2025,96,52,0
22:24:53 21/08/2025,97,51,0
22:24:57 21/08/2025,97,51,0
22:25:01 21/08/2025,97,52,0
22:25:05 21/08/2025,97,51,0
22:25:09 21/08/2025,96,52,1
22:25:13 21/08/2025,96,52,2
22:25:17 21/08/2025,96,52,1
22:25:21 21/08/2025,97,53,26
22:25:25 21/08/2025,97,53,4
22:25:29 21/08/2025,97,53,3
22:25:33 21/08/2025,97,57,3
22:25:37 21/08/2025,97,57,1
22:25:41 21/08/2025,97,60,1
22:25:45 21/08/2025,95,60,0
22:25:49 21/08/2025,94,58,1
22:25:53 21/08/2025,94,57,2
22:25:57 21/08/2025,95,58,0
22:26:01 21/08/2025,96,59,0
22:26:05 21/08/2025,96,61,1
22:26:09 21/08/2025,96,61,1
22:26:13 21/08/2025,96,58,1
22:26:17 21/08/2025,95,56,1
22:26:21 21/08/2025,94,57,1
22:26:25 21/08/2025,94,57,1
22:26:29 21/08/2025,94,57,1
22:26:33 21/08/2025,95,55,1
22:26:37 21/08/2025,95,54,1
22:26:41 21/08/2025,95,54,1
22:26:45 21/08/2025,95,54,1
22:26:49 21/08/2025,95,54,1
22:26:53 21/08/2025,96,54,1
22:26:57 21/08/2025,96,56,1
22:27:01 21/08/2025,96,57,0
22:27:05 21/08/2025,95,55,1
22:27:09 21/08/2025,94,54,0
22:27:13 21/08/2025,95,54,1
22:27:17 21/08/2025,96,54,1
22:27:21 21/08/2025,96,54,0
22:27:25 21/08/2025,96,54,1
22:27:29 21/08/2025,96,54,0
22:27:33 21/08/2025,97,54,0
22:27:37 21/08/2025,97,54,0
22:27:41 21/08/2025,97,54,3
22:27:45 21/08/2025,97,54,2
22:27:49 21/08/2025,97,54,1
22:27:53 21/08/2025,97,55,0
22:27:57 21/08/2025,96,57,0
22:28:01 21/08/2025,93,57,1
22:28:05 21/08/2025,92,57,1
22:28:09 21/08/2025,93,56,0
22:28:13 21/08/2025,95,55,0
22:28:17 21/08/2025,97,55,0
22:28:21 21/08/2025,97,56,1
22:28:25 21/08/2025,97,56,1
22:28:29 21/08/2025,96,56,0
22:28:33 21/08/2025,96,56,2
22:28:37 21/08/2025,93,57,0
22:28:41 21/08/2025,93,57,0
22:28:45 21/08/2025,94,54,0
22:28:49 21/08/2025,95,54,1
22:28:53 21/08/2025,96,55,2
22:28:57 21/08/2025,96,55,1
22:29:01 21/08/2025,97,55,0
22:29:05 21/08/2025,97,54,0
22:29:09 21/08/2025,97,52,0
22:29:13 21/08/2025,97,52,0
22:29:17 21/08/2025,96,52,0
22:29:21 21/08/2025,97,52,0
22:29:25 21/08/2025,97,54,1
22:29:29 21/08/2025,96,55,1
22:29:33 21/08/2025,96,56,1
22:29:37 21/08/2025,95,58,1
22:29:41 21/08/2025,96,57,1
22:29:45 21/08/2025,97,54,1
22:29:49 21/08/2025,97,52,1
22:29:53 21/08/2025,97,53,1
22:29:57 21/08/2025,97,54,1
22:30:01 21/08/2025,96,57,0
22:30:05 21/08/2025,96,56,0
22:30:09 21/08/2025,95,56,0
22:30:13 21/08/2025,96,54,0
22:30:17 21/08/2025,96,55,0
22:30:21 21/08/2025,96,56,0
22:30:25 21/08/2025,96,57,0
22:30:29 21/08/2025,95,56,1
22:30:33 21/08/2025,94,56,0
22:30:37 21/08/2025,94,54,0
22:30:41 21/08/2025,94,53,0
22:30:45 21/08/2025,96,54,1
22:30:49 21/08/2025,96,54,0
22:30:53 21/08/2025,96,54,0
22:30:57 21/08/2025,96,54,0
22:31:01 21/08/2025,96,55,1
22:31:05 21/08/2025,94,57,0
22:31:09 21/08/2025,93,56,0
22:31:13 21/08/2025,93,54,0
22:31:17 21/08/2025,94,53,0
22:31:21 21/08/2025,96,52,0
22:31:25 21/08/2025,96,54,0
22:31:29 21/08/2025,96,54,0
22:31:33 21/08/2025,96,56,0
22:31:37 21/08/2025,96,58,0
22:31:41 21/08/2025,95,57,0
22:31:45 21/08/2025,94,57,0
22:31:49 21/08/2025,93,57,0
22:31:53 21/08/2025,94,56,0
22:31:57 21/08/2025,96,53,0
22:32:01 21/08/2025,97,53,0
22:32:05 21/08/2025,97,54,2
22:32:09 21/08/2025,96,56,3
22:32:13 21/08/2025,95,59,1
22:32:17 21/08/2025,92,60,1
22:32:21 21/08/2025,91,56,1
22:32:25 21/08/2025,93,54,0
22:32:29 21/08/2025,95,53,0
22:32:33 21/08/2025,96,53,1
22:32:37 21/08/2025,97,54,0
22:32:41 21/08/2025,97,55,1
22:32:45 21/08/2025,97,56,0
22:32:49 21/08/2025,95,56,0
22:32:53 21/08/2025,95,58,0
22:32:57 21/08/2025,94,57,1
22:33:01 21/08/2025,93,57,0
22:33:05 21/08/2025,93,57,0
22:33:09 21/08/2025,94,57,0
22:33:13 21/08/2025,95,55,0
22:33:17 21/08/2025,96,56,1
22:33:21 21/08/2025,95,57,0
22:33:25 21/08/2025,94,57,1
22:33:29 21/08/2025,93,61,1
22:33:33 21/08/2025,94,61,0
22:33:37 21/08/2025,94,62,0
22:33:41 21/08/2025,96,56,0
22:33:45 21/08/2025,97,54,0
22:33:49 21/08/2025,96,56,0
22:33:53 21/08/2025,95,57,1
22:33:57 21/08/2025,94,56,0
22:34:01 21/08/2025,94,55,0
22:34:05 21/08/2025,94,56,0
22:34:09 21/08/2025,94,56,1
22:34:13 21/08/2025,94,56,8
22:34:17 21/08/2025,94,56,1
22:34:21 21/08/2025,94,56,1
22:34:25 21/08/2025,94,56,0
22:34:29 21/08/2025,94,56,0
22:34:33 21/08/2025,94,56,0
22:34:37 21/08/2025,94,56,0
22:34:41 21/08/2025,96,55,0
22:34:45 21/08/2025,97,55,1
22:34:49 21/08/2025,96,55,1
22:34:53 21/08/2025,96,55,1
22:34:57 21/08/2025,95,56,0
22:35:01 21/08/2025,94,56,0
22:35:05 21/08/2025,93,55,1
22:35:09 21/08/2025,94,55,1
22:35:13 21/08/2025,94,56,1
22:35:17 21/08/2025,95,57,1
22:35:21 21/08/2025,96,57,0
22:35:25 21/08/2025,96,55,1
22:35:29 21/08/2025,96,55,1
22:35:33 21/08/2025,96,56,1
22:35:37 21/08/2025,95,59,0
22:35:41 21/08/2025,94,60,0
22:35:45 21/08/2025,94,60,1
22:35:49 21/08/2025,95,58,0
22:35:53 21/08/2025,95,55,1
22:35:57 21/08/2025,95,56,1
22:36:01 21/08/2025,94,56,0
22:36:05 21/08/2025,95,55,1
22:36:09 21/08/2025,95,56,1
22:36:13 21/08/2025,95,57,1
22:36:17 21/08/2025,95,57,0
22:36:21 21/08/2025,95,56,1
22:36:25 21/08/2025,95,57,0
22:36:29 21/08/2025,94,56,0
22:36:33 21/08/2025,95,57,0
22:36:37 21/08/2025,95,58,0
22:36:41 21/08/2025,96,58,0
22:36:45 21/08/2025,96,58,1
22:36:49 21/08/2025,96,58,0
22:36:53 21/08/2025,96,57,1
22:36:57 21/08/2025,96,58,0
22:37:01 21/08/2025,94,57,0
22:37:05 21/08/2025,94,56,0
22:37:09 21/08/2025,94,56,0
22:37:13 21/08/2025,95,57,1
22:37:17 21/08/2025,96,58,0
22:37:21 21/08/2025,95,57,1
22:37:25 21/08/2025,95,57,0
22:37:29 21/08/2025,94,57,1
22:37:33 21/08/2025,94,57,1
22:37:37 21/08/2025,94,57,1
22:37:41 21/08/2025,95,58,1
22:37:45 21/08/2025,96,58,1
22:37:49 21/08/2025,97,59,1
22:37:53 21/08/2025,96,57,0
22:37:57 21/08/2025,95,56,0
22:38:01 21/08/2025,95,55,1
22:38:05 21/08/2025,96,56,1
22:38:09 21/08/2025,96,58,1
22:38:13 21/08/2025,94,59,1
22:38:17 21/08/2025,94,59,1
22:38:21 21/08/2025,94,60,0
22:38:25 21/08/2025,95,57,1
22:38:29 21/08/2025,95,59,0
22:38:33 21/08/2025,96,59,1
22:38:37 21/08/2025,96,58,0
22:38:41 21/08/2025,94,57,1
22:38:45 21/08/2025,94,58,1
22:38:49 21/08/2025,94,59,0
22:38:53 21/08/2025,95,58,1
22:38:57 21/08/2025,95,57,2
22:39:01 21/08/2025,96,56,1
22:39:05 21/08/2025,96,58,0
22:39:09 21/08/2025,95,57,0
22:39:13 21/08/2025,94,56,1
22:39:17 21/08/2025,94,57,1
22:39:21 21/08/2025,95,58,0
22:39:25 21/08/2025,95,58,0
