Timp,Nivel de oxigen,Puls cardiac,Mişcare
21:06:22 15/10/2025,85,74,0
21:06:26 15/10/2025,85,74,0
21:06:30 15/10/2025,85,74,0
21:06:34 15/10/2025,84,74,0
21:06:38 15/10/2025,84,74,0
21:06:42 15/10/2025,84,73,0
21:06:46 15/10/2025,84,73,0
21:06:50 15/10/2025,85,73,0
21:06:54 15/10/2025,85,73,1
21:06:58 15/10/2025,85,75,0
21:07:02 15/10/2025,85,77,0
21:07:06 15/10/2025,85,78,0
21:07:10 15/10/2025,84,77,0
21:07:14 15/10/2025,84,75,0
21:07:18 15/10/2025,84,73,0
21:07:22 15/10/2025,85,74,0
21:07:26 15/10/2025,85,76,0
21:07:30 15/10/2025,85,77,0
21:07:34 15/10/2025,85,75,0
21:07:38 15/10/2025,85,75,0
21:07:42 15/10/2025,85,75,0
21:07:46 15/10/2025,86,76,0
21:07:50 15/10/2025,85,75,0
21:07:54 15/10/2025,86,75,0
21:07:58 15/10/2025,85,75,0
21:08:02 15/10/2025,85,73,0
21:08:06 15/10/2025,85,73,0
21:08:10 15/10/2025,85,74,1
21:08:14 15/10/2025,85,76,0
21:08:18 15/10/2025,86,73,0
21:08:22 15/10/2025,87,71,0
21:08:26 15/10/2025,88,72,0
21:08:30 15/10/2025,87,73,0
21:08:34 15/10/2025,86,73,0
21:08:38 15/10/2025,85,74,0
21:08:42 15/10/2025,85,74,0
21:08:46 15/10/2025,85,74,0
21:08:50 15/10/2025,85,75,0
21:08:54 15/10/2025,85,75,0
21:08:58 15/10/2025,85,76,0
21:09:02 15/10/2025,85,75,0
21:09:06 15/10/2025,86,74,0
21:09:10 15/10/2025,86,74,0
21:09:14 15/10/2025,85,74,0
21:09:18 15/10/2025,86,74,0
21:09:22 15/10/2025,85,75,0
21:09:26 15/10/2025,85,75,0
21:09:30 15/10/2025,85,76,1
21:09:34 15/10/2025,86,74,0
21:09:38 15/10/2025,85,73,1
21:09:42 15/10/2025,86,75,0
21:09:46 15/10/2025,87,74,0
21:09:50 15/10/2025,87,73,0
21:09:54 15/10/2025,86,73,0
21:09:58 15/10/2025,86,73,0
21:10:02 15/10/2025,86,74,1
21:10:06 15/10/2025,86,73,1
21:10:10 15/10/2025,86,73,1
21:10:14 15/10/2025,86,73,0
21:10:18 15/10/2025,85,73,0
21:10:22 15/10/2025,85,71,1
21:10:26 15/10/2025,85,71,1
21:10:30 15/10/2025,86,73,0
21:10:34 15/10/2025,86,74,0
21:10:38 15/10/2025,86,74,0
21:10:42 15/10/2025,87,74,0
21:10:46 15/10/2025,87,72,0
21:10:50 15/10/2025,86,73,0
21:10:54 15/10/2025,86,74,0
21:10:58 15/10/2025,86,75,1
21:11:02 15/10/2025,86,75,0
21:11:06 15/10/2025,86,75,0
21:11:10 15/10/2025,85,74,0
21:11:14 15/10/2025,85,73,0
21:11:18 15/10/2025,85,74,0
21:11:22 15/10/2025,85,74,1
21:11:26 15/10/2025,85,75,1
21:11:30 15/10/2025,85,78,0
21:11:34 15/10/2025,86,79,0
21:11:38 15/10/2025,86,76,0
21:11:42 15/10/2025,87,71,1
21:11:46 15/10/2025,87,69,1
21:11:50 15/10/2025,88,69,1
21:11:54 15/10/2025,88,69,0
21:11:58 15/10/2025,87,69,0
21:12:02 15/10/2025,87,71,0
21:12:06 15/10/2025,87,73,0
21:12:10 15/10/2025,86,75,1
21:12:14 15/10/2025,86,74,0
21:12:18 15/10/2025,86,74,0
21:12:22 15/10/2025,86,74,0
21:12:26 15/10/2025,86,73,1
21:12:30 15/10/2025,87,74,0
21:12:34 15/10/2025,87,73,0
21:12:38 15/10/2025,87,72,0
21:12:42 15/10/2025,87,72,0
21:12:46 15/10/2025,86,74,0
21:12:50 15/10/2025,86,75,1
21:12:54 15/10/2025,86,75,0
21:12:58 15/10/2025,86,74,1
21:13:02 15/10/2025,86,73,1
21:13:06 15/10/2025,86,73,0
21:13:10 15/10/2025,87,74,0
21:13:14 15/10/2025,87,74,1
21:13:18 15/10/2025,87,74,0
21:13:22 15/10/2025,87,75,0
21:13:26 15/10/2025,86,73,1
21:13:30 15/10/2025,86,70,1
21:13:34 15/10/2025,86,68,0
21:13:38 15/10/2025,86,70,0
21:13:42 15/10/2025,86,71,0
21:13:46 15/10/2025,86,72,0
